title,url,author,release_date,language,reading_level,downloads_last_30d
Sir Joshua Reynolds,https://www.gutenberg.org/ebooks/19009,Estelle M. Hurll,"Aug 8, 2006",English,Fairly difficult to read.,994
"The History of Painting in Italy, Vol. 3 (of 6)",https://www.gutenberg.org/ebooks/34645,Luigi Lanzi,"Dec 13, 2010",English,Difficult to read.,976
"Roman Mosaics; Or, Studies in Rome and Its Neighbourhood",https://www.gutenberg.org/ebooks/16180,Hugh Macmillan,"Jul 2, 2005",English,Difficult to read.,975
The Dance (by An Antiquary),https://www.gutenberg.org/ebooks/17289,Anonymous,"Dec 12, 2005",English,Fairly difficult to read.,954
A Text-Book of the History of Painting,https://www.gutenberg.org/ebooks/18900,John C. Van Dyke,"Jul 23, 2006",English,Difficult to read.,611
Illuminated Manuscripts,https://www.gutenberg.org/ebooks/19870,John William Bradley,"Nov 19, 2006",English,Difficult to read.,605
"Anecdotes of Painters, Engravers, Sculptors and Architects, and Curiosities of Art (Vol. 3 of 3)",https://www.gutenberg.org/ebooks/18383,Shearjashub Spooner,"May 12, 2006",English,Difficult to read.,604
Seven Discourses on Art,https://www.gutenberg.org/ebooks/2176,Sir Joshua Reynolds,"May 1, 2000",English,Difficult to read.,597
"A History of Art for Beginners and Students: Painting, Sculpture, Architecture",https://www.gutenberg.org/ebooks/24726,Clara Erskine Clement Waters,"Mar 1, 2008",English,Difficult to read.,581
The Works of William Hogarth: In a Series of Engravings,https://www.gutenberg.org/ebooks/22500,John Trusler,"Sep 4, 2007",English,Fairly difficult to read.,571
The Autobiography of Benvenuto Cellini,https://www.gutenberg.org/ebooks/4028,Benvenuto Cellini,"May 1, 2003",English,Fairly difficult to read.,567
Handbook on Japanning: 2nd Edition,https://www.gutenberg.org/ebooks/15622,William Norman Brown,"Apr 14, 2005",English,Difficult to read.,564
"Moby Dick; Or, The Whale",https://www.gutenberg.org/ebooks/2701,Herman Melville,"Jul 1, 2001",English,Plain English. Easily understood.,109836
Middlemarch,https://www.gutenberg.org/ebooks/145,George Eliot,"Jul 1, 1994",English,Difficult to read.,59856
Pride and Prejudice,https://www.gutenberg.org/ebooks/1342,Jane Austen,"Jun 1, 1998",English,Difficult to read.,59088
The Expedition of Humphry Clinker,https://www.gutenberg.org/ebooks/2160,T. Smollett,"Apr 1, 2000",English,Difficult to read.,53295
"History of Tom Jones, a Foundling",https://www.gutenberg.org/ebooks/6593,Henry Fielding,"Sep 1, 2004",English,Fairly difficult to read.,52508
The Adventures of Ferdinand Count Fathom — Complete,https://www.gutenberg.org/ebooks/6761,T. Smollett,"Sep 9, 2004",English,Difficult to read.,47987
The Adventures of Roderick Random,https://www.gutenberg.org/ebooks/4085,T. Smollett,"May 1, 2003",English,Difficult to read.,46364
Crime and Punishment,https://www.gutenberg.org/ebooks/2554,Fyodor Dostoyevsky,"Mar 28, 2006",English,Plain English. Easily understood.,40909
The Brothers Karamazov,https://www.gutenberg.org/ebooks/28054,Fyodor Dostoyevsky,"Feb 12, 2009",English,Plain English. Easily understood.,28457
A Doll's House : a play,https://www.gutenberg.org/ebooks/2542,Henrik Ibsen,"Mar 1, 2001",English,Very easy to read.,27995
The Pickwick Papers,https://www.gutenberg.org/ebooks/580,Charles Dickens,"Jul 1, 1996",English,Fairly difficult to read.,24002
"The Mysterious Stranger, and Other Stories",https://www.gutenberg.org/ebooks/3186,Mark Twain,"Jun 9, 2008",English,Fairly difficult to read.,23741
